Dia,Horário,Disciplina,Sala
Segunda,07:00 - 07:50,Estatistica,03
Segunda,07:50 - 08:40,Geografia,07
Segunda,08:40 - 09:30,Eletiva,
Segunda,09:50 - 10:40,PDEFFISCAI,01
Segunda,10:40 - 11:30, Educação Financeira,01
Segunda,11:30 - 12:20,Fisica,14
Terça,07:00 - 07:50,Ingles,07
Terça,07:50 - 08:40,Quimica,06
Terça,08:40 - 09:30,Educação Financeira,01
Terça,09:50 - 10:40,Matemática,01
Terça,10:40 - 11:30,Português,05
Terça,11:30 - 12:20,Biologia,06
Quarta,07:00 - 07:50,Português,01
Quarta,07:50 - 08:40,Biologia,05
Quarta,08:40 - 09:30,Geografia,07
Quarta,09:50 - 10:40,História,04
Quarta,10:40 - 11:30,Português,03
Quarta,11:30 - 12:20,Filosofia,11
Quinta,07:00 - 07:50,Estudo Orientado,02
Quinta,07:50 - 08:40,História,05
Quinta,08:40 - 09:30,Matemática Financeira,01
Quinta,09:50 - 10:40,Matemática,03
Quinta,10:40 - 11:30,Matemática,03
Quinta,11:30 - 12:20,CR,14
Sexta,07:00 - 07:50,Matemática,01
Sexta,07:50 - 08:40,Português,05
Sexta,08:40 - 09:30,Português,05
Sexta,09:50 - 10:40,Matemática,03
Sexta,10:40 - 11:30,Sociologia,06
Sexta,11:30 - 12:20,Projeto de Vida,02

